,Item,Calories,Total Fat,Saturated Fat,Trans Fat,Cholesterol,Sodium,Carbohydrates,Dietary Fiber,Sugars,Protein
159,French Vanilla Latte (Large),420,14.0,8.0,0.0,40,190,60,1,56,15
160,Latte with Sugar Free French Vanilla Syrup (Small),210,9.0,5.0,0.0,25,150,24,1,12,9
161,Latte with Sugar Free French Vanilla Syrup (Medium),260,10.0,6.0,0.0,30,190,29,1,15,12
162,Latte with Sugar Free French Vanilla Syrup (Large),330,14.0,8.0,0.0,40,240,37,2,20,15
163,Nonfat Latte (Small),100,0.0,0.0,0.0,5,110,15,1,13,10
164,Nonfat Latte (Medium),130,0.0,0.0,0.0,5,135,19,1,16,12
165,Nonfat Latte (Large),170,0.5,0.0,0.0,10,180,25,1,21,16
166,Nonfat Caramel Latte (Small),200,0.0,0.0,0.0,5,110,41,1,39,10
167,Nonfat Caramel Latte (Medium),250,0.0,0.0,0.0,5,135,51,1,48,12
168,Nonfat Caramel Latte (Large),310,0.5,0.0,0.0,10,180,63,1,59,16
169,Nonfat Hazelnut Latte (Small),200,0.0,0.0,0.0,5,110,40,1,38,10
170,Nonfat Hazelnut Latte (Medium),250,0.0,0.0,0.0,5,135,51,1,48,12
171,Nonfat Hazelnut Latte (Large),310,0.5,0.0,0.0,10,180,63,1,59,16
172,Nonfat French Vanilla Latte (Small),190,0.0,0.0,0.0,5,115,39,1,37,10
173,Nonfat French Vanilla Latte (Medium),240,0.0,0.0,0.0,5,140,49,1,46,12
174,Nonfat French Vanilla Latte (Large),300,0.5,0.0,0.0,10,180,60,1,56,16
175,Nonfat Latte with Sugar Free French Vanilla Syrup (Small),140,0.0,0.0,0.0,5,150,24,1,13,10
176,Nonfat Latte with Sugar Free French Vanilla Syrup (Medium),170,0.0,0.0,0.0,5,180,30,1,16,12
177,Nonfat Latte with Sugar Free French Vanilla Syrup (Large),220,0.5,0.0,0.0,10,240,38,2,21,16
178,Mocha (Small),340,11.0,7.0,0.0,35,150,49,2,42,10
179,Mocha (Medium),410,14.0,8.0,0.0,40,190,60,2,53,13
180,Mocha (Large),500,17.0,10.0,0.5,50,240,72,2,63,16
181,Mocha with Nonfat Milk (Small),270,3.5,2.0,0.0,15,150,49,2,43,11
182,Mocha with Nonfat Milk (Medium),330,3.5,2.0,0.0,15,190,60,2,53,13
183,Mocha with Nonfat Milk (Large),390,4.0,2.5,0.0,20,240,73,2,64,17
184,Caramel Mocha (Small),320,11.0,7.0,0.0,35,170,45,1,40,10
185,Caramel Mocha (Medium),390,14.0,8.0,0.5,40,220,55,1,50,12
186,Caramel Mocha (Large),480,17.0,10.0,0.5,50,270,66,1,60,16
187,Nonfat Caramel Mocha (Small),250,3.5,2.0,0.0,15,170,45,1,41,10
188,Nonfat Caramel Mocha (Medium),310,3.5,2.0,0.0,15,210,56,1,51,13
189,Nonfat Caramel Mocha (Large),370,3.5,2.5,0.0,20,270,67,1,61,17
