,Burgers,Calories,Total Fat,Sat Fat,Trans Fat,Chol.,Sodium,Total Carb,Fiber,Sugars,Protein
306,Chocolate Caramel Pretzel,480,25,15,0,125,370,54,0,47,9
307,Chocolate Caramel Pretzel (Double),950,51,30,0,250,740,107,0,95,18
308,Chocolate Caramel Pretzel Crunch,510,30,18,0.5,135,310,55,0,47,8
309,Chocolate Caramel Pretzel Crunch (Double),1020,60,35,1.5,270,610,111,1,93,18
310,Chocolate Chip Cookie,600,37,22,0.5,150,370,66,0,43,9
311,Chocolate Chip Cookie (Double),1200,73,43,1.5,295,730,131,1,86,18
312,Chocolate Minted Marshmallow,430,24,14,0.5,125,150,53,0,46,7
313,Chocolate Minted Marshmallow (Double),860,48,29,1.5,350,300,105,0,92,15
314,Chocolate Thayer Cake,580,34,19,1,155,280,64,0,52,8
315,Chocolate Thayer Cake (Double),1160,68,38,1.5,305,560,129,0,104,17
316,Chocolate Truffle Cookie Cone,420,22,13,0,120,210,52,0,44,8
317,Chocolate Truffle Cookie Cone (Double),840,44,26,0.5,240,410,104,0,88,16
318,Churn of the Century,590,36,14,0,130,450,56,0,45,14
319,Churn of the Century (Double),1180,73,27,0,255,890,112,0,90,28
320,Coffee & Donuts,460,23,12,0,115,290,55,0,41,9
321,Coffee & Donuts (Double),920,45,23,0,225,580,111,0,83,19
322,Coffee Caramel Popcorn,410,20,12,0,120,400,47,0,43,10
323,Coffee Caramel Popcorn (Double),810,41,23,0,245,790,94,0,87,19
324,Coffee Toffee,450,22,14,0,120,270,56,0,42,8
325,Coffee Toffee (Double),900,45,28,0,245,540,113,0,105,18
326,cOLD Fashioned,490,25,14,0,120,460,57,0,47,9
327,cOLD Fashioned (Double),970,51,29,0,245,920,114,1,93,18
328,Cold Shot,550,30,18,0.5,145,490,66,0,61,7
329,Cold Shot (Double),1080,58,36,1,290,880,130,0,121,15
330,Coldspot,500,23,13,0,120,400,65,0,54,10
331,Coldspot (Double),1000,47,25,0,240,810,130,0,109,20
332,Colonial Custard,440,21,13,0,140,250,53,0,44,8
333,Colonial Custard (Double),870,43,26,0,280,500,106,0,88,17
334,Concrete of Troy,520,26,14,0,125,410,68,0,57,9
335,Concrete of Troy (Double),1050,52,29,0,250,830,135,0,114,19
336,Cookie & Coffee,450,24,15,0,125,350,52,0,43,9
337,Cookie & Coffee (Double),910,49,30,0,250,700,104,0,87,17
338,Cookie Butter Blender,570,32,18,0,135,370,63,0,57,9
339,Cookie Butter Blender (Double),1140,65,36,0.5,265,730,126,0,114,17
340,Cookie Butter Crunchcrete,530,32,18,1,130,230,56,0,48,8
341,Cookie Butter Crunchcrete (Double),1050,65,35,1.5,265,460,112,0,97,15
342,Cookie-Crumble,460,22,11,0,110,260,57,0,49,9
343,Cookie-Crumble (Double),920,45,22,0,225,510,114,0,98,17
344,Cookie Dough Country,500,31,16,0.5,125,270,51,0,41,10
345,Cookie Dough Country (Double),1000,63,31,1.5,250,540,102,0,81,20
346,Coral Crisp,500,22,13,0,120,470,72,0,57,9
347,Coral Crisp (Double),1000,43,26,0,240,940,144,0,114,18
348,Crimson Red Velvet,360,19,11,0,120,250,40,0,37,8
349,Crimson Red Velvet (Double),720,38,22,0,235,510,79,0,74,16
350,Cross County Crunch,520,29,18,0,130,420,60,0,54,9
351,Cross County Crunch (Double),1040,58,36,0,260,830,118,0,108,18
352,Crunch Time,470,22,13,0,120,350,59,0,53,9
353,Crunch Time (Double),930,44,26,0,240,710,119,0,106,17
354,Crunch-stellation,470,24,15,0,125,290,57,0,52,9
355,Crunch-stellation (Double),930,49,30,0,245,580,114,0,105,17
356,Cup | Cake Crunch,530,28,15,0,135,340,61,0,55,9
357,Cup | Cake Crunch (Double),1060,57,31,0,265,690,123,0,109,18
358,D.O.D-licious,510,27,16,0,140,420,60,0,42,9
359,D.O.D-licious (Double),1010,54,31,0,275,850,118,0,83,18
360,Da' S'more,500,26,14,0.5,125,200,63,0,50,8
361,Da' S'more (Double),990,52,29,1.5,250,410,126,1,99,16
362,Dallas Dough,580,31,18,0.5,130,190,70,0,55,9
363,Dallas Dough (Double),1160,63,35,1.5,255,380,140,0,110,19
364,Darien Cookie Dough,550,30,18,0,145,480,63,0,47,9
