Burgers,Calories,Total Fat,Sat Fat,Trans Fat,Chol.,Sodium,Total Carb,Fiber,Sugars,Protein
100% all-natural Angus beef. No hormones and no antibiotics ever. Our,,,,,,,,,,
proprietary Shack blend is freshly ground and served on a non-GMO potato,,,,,,,,,,
bun.,,,,,,,,,,
Murray Hill Malt (Double),1100,62,37,1.5,250,350,125,7,102,20
Music City 'Mallow,490,25,15,0.5,130,310,62,0,53,8
Music City 'Mallow (Double),980,51,30,1.5,255,630,125,0,107,15
Natural History Crunch-stellation,460,24,15,0,125,280,55,0,51,8
Natural History Crunch-stellation (Double),920,48,30,0,245,570,110,0,101,17
NewBERRY,350,17,10,0,110,220,44,0,39,8
NewBERRY (Double),710,33,20,0,225,450,88,1,79,16
New Castle,570,32,18,0,135,370,63,0,57,9
New Castle (Double),1140,65,36,0.5,265,730,126,0,114,17
Nothin' But Nets,470,22,13,0,115,300,66,0,50,9
Nothin' But Nets (Double),940,44,26,0.5,235,610,131,0,99,17
O Town Blend,510,27,15,0,130,500,59,0,54,8
O Town Blend (Double),1020,55,29,0,255,990,118,0,109,17
Oh Fudge,470,29,17,0.5,130,170,51,0,44,8
Oh Fudge (Double),940,58,35,1.5,260,330,103,0,88,16
Old Country Rocky Road,520,31,15,0.5,125,150,56,2,47,10
Old Country Rocky Road (Double),1030,63,30,1.5,250,300,111,3,94,20
One Stop Choc,540,30,17,0.5,140,230,66,0,45,8
One Stop Choc (Double),1090,61,35,1.5,280,470,132,0,89,17
OrlanDOUGH,510,28,16,0.5,125,170,61,0,51,8
OrlanDOUGH (Double),1010,55,32,1.5,255,340,123,0,101,17
Pearl & Pecan,530,33,15,0,130,400,51,1,49,9
Pearl & Pecan (Double),1060,66,30,0,260,800,103,3,96,18
Penthouse Sweet,480,28,17,0.5,140,410,55,0,42,8
Penthouse Sweet (Double),960,57,33,1.5,275,830,110,0,85,15
Pie Oh My,490,25,13,0,115,320,54,0,44,8
Pie Oh My (Double),970,51,26,0,230,640,109,1,88,17
Pie Oh My (Roadie)*,1950,101,52,0,460,1290,218,2,175,33
Presidential Sweet,470,22,14,0,120,340,59,0,56,9
Presidential Sweet (Double),940,45,28,0,245,680,118,1,112,17
Pretzel Place,500,29,17,0.5,135,350,56,3,48,8
Pretzel Place (Double),1000,57,34,1.5,265,710,113,6,95,16
Pretzel the Concrete,540,32,15,0.5,125,250,57,0,47,10
Pretzel the Concrete (Double),1070,63,31,1.5,245,510,115,0,94,20
Rainbow Connection,460,24,12,0,115,300,53,0,37,9
Rainbow Connection (Double),920,48,24,0.5,225,600,105,0,74,19
Red Velvet Rock,460,24,13,0,130,380,52,0,45,9
Red Velvet Rock (Double),920,48,26,0,265,760,105,0,90,18
Revere's Tracks,490,26,16,0,130,410,58,0,54,8
Revere's Tracks (Double),970,52,32,0,260,810,117,0,109,16
Rittenhouse,440,24,14,0.5,125,150,54,1,46,8
Rittenhouse (Double),890,49,29,1.5,250,300,109,1,91,16
Royal Sweet,460,22,11,0,110,250,56,0,49,8
Royal Sweet (Double),910,45,22,0,225,500,112,0,98,17
Royal Treatment,370,16,10,0,110,260,50,0,43,8
Royal Treatment (Double),750,33,20,0,225,520,99,0,85,16
Salt N' San Diego,390,19,11,0,120,360,49,0,43,8
Salt N' San Diego (Double),780,37,23,0,240,710,98,1,86,16
Salt N' Sunset,470,25,13,0,120,420,53,0,40,9
Salt N' Sunset (Double),930,49,26,0,240,850,106,0,79,18
Salted Carame'L',430,22,12,0,115,310,49,0,37,9
Salted Carame'L' (Double),860,45,23,0,230,630,99,1,73,18
Salted Caramel Crunch - Henderson,460,23,14,0,130,410,58,0,55,8
Salted Caramel Crunch (Double) - Henderson,930,46,28,0,160,820,115,0,110,16
Salted Caramel Crunch - Kierland Commons,520,29,18,0.5,145,440,59,0,55,7
Salted Caramel Crunch (Double) - Kierland Coomons,1040,59,37,1.5,290,880,118,0,110,14
Salty Balty,510,29,17,0,135,650,59,0,45,9
Salty Balty (Double),1030,58,35,1,270,1310,120,0,91,18
Seaport Salt and Malt,550,33,20,1,140,350,60,0,52,8
Seaport Salt and Malt (Double),1110,67,40,1.5,280,700,121,0,105,16
Seawolf Swirl,430,22,13,0.5,120,260,51,0,42,8
Seawolf Swirl (Double),860,43,25,1.5,245,510,101,0,83,17
Shack Attack,550,35,21,0.5,130,170,58,0,48,9
Shack Attack (Double),1090,69,43,1.5,255,340,116,0,95,18
Shack Attack (Roadie)*,2200,140,86,3,520,690,234,0,193,36
Shacky Road,520,31,15,0.5,125,150,56,2,47,10
Shacky Road (Double),1030,63,30,1.5,250,300,111,3,94,20
Shake-ney,490,25,15,0.5,130,310,62,0,53,8
Shake-ney (Double),980,51,30,1.5,255,630,125,0,107,15
Shark Attack,580,37,21,0.5,125,180,62,0,50,9
Shark Attack (Double),1170,74,41,1.5,250,360,123,0,100,18
Shell Game,480,25,13,0,115,230,55,1,45,10
Shell Game (Double),960,50,27,0,235,460,111,1,90,21
Short & Sweet,450,22,13,0,130,380,56,1,46,8
Short & Sweet (Double),900,44,27,0,255,760,112,1,93,17
Skull and Cones,550,31,18,0,130,240,66,0,53,10
Skull and Cones (Double),1100,62,35,1,255,490,131,0,105,19
S'More,560,31,18,0.5,120,200,66,0,50,9
S'More (Double),1110,63,36,1.5,240,400,132,1,100,18
S'more Cookie Dough,520,27,15,0.5,125,210,66,0,52,8
S'more Cookie Dough (Double),1040,55,30,1.5,255,420,133,1,104,17
S'Mores Please,520,29,16,0.5,120,200,63,0,48,8
S'Mores Please (Double),1040,58,33,1.5,240,390,125,1,96,17
SMOREScode,470,24,12,0.5,120,220,61,1,46,8
SMOREScode (Double),950,48,25,1.5,240,440,122,1,92,16
"Snap, Crackle Crete",370,16,10,0,110,260,50,0,43,8
"Snap, Crackle Crete (Double)",750,33,20,0,225,520,99,0,85,16
Somer Break,470,24,13,0.5,130,350,57,0,50,9
Somer Break (Double),950,48,27,1.5,260,700,115,0,100,18
Spoon Feed,510,28,15,1,135,370,57,0,50,10
Spoon Feed (Double),1020,56,29,2.5,270,740,114,0,100,19
Sticky Bun Banana,520,26,16,0,145,520,63,0,54,9
Sticky Bun Banana (Double),1030,52,32,0,285,1040,125,1,107,18
Strawberry Banana Cone-Crete,360,17,10,0,110,220,45,0,39,8
Strawberry Banana Cone-Crete (Double),710,33,20,0,225,450,89,1,78,16
Strawberry Banana Crunch,360,17,10,0,110,220,45,0,39,8
Strawberry Banana Crunch (Double),710,33,20,0,225,450,89,1,78,16
Strawberry Banana Crunchcake,400,20,12,0,120,250,49,0,40,8
Strawberry Banana Crunchcake (Double),810,40,24,0,240,490,98,1,80,16
Strawberry Country Crunch,360,17,10,0,110,220,45,0,39,8
Strawberry Country Crunch (Double),710,33,20,0,225,450,89,1,78,16
Strawberry Crunchcake,380,17,10,0,110,230,51,0,46,8
Strawberry Crunchcake (Double),770,33,20,0,225,450,103,0,92,16
Strawberry Sunset,380,18,10,0.5,110,220,47,0,41,8
Strawberry Sunset (Double),760,36,21,1.5,225,450,94,0,81,16
Strike Cone,520,28,17,0,125,260,65,0,54,10
Strike Cone (Double),1040,55,33,0,245,530,131,0,108,20
Summerlin S'more,440,23,13,0.5,125,170,54,0,45,7
Summerlin S'more (Double),870,47,27,1.5,245,340,108,0,91,15
Takes the CupCAKE,540,30,16,1,130,330,61,0,53,9
Takes the CupCAKE (Double),1070,61,32,2,260,650,122,0,105,18
"The ""U"" Malt",500,28,17,0.5,130,200,580,0,50,9
"The ""U"" Malt (Double)",990,56,34,1.5,265,410,116,0,101,18
The Breakfast Club,410,20,12,0,120,380,50,0,43,8
The Breakfast Club (Double),820,40,23,0,245,750,99,1,86,16
The Concrete Jungle - Buckhead,460,25,13,0,115,230,52,0,45,9
The Concrete Jungle (Double) - Buckhead,910,50,26,0,230,470,103,1,90,18
The Concrete Jungle - MSP,450,25,13,0,115,240,48,0,43,9
The Concrete Jungle (Double) - MSP,910,51,27,0,235,480,97,1,86,17
The Empire Shacks Back,430,23,12,0,120,370,49,0,42,8
The Empire Shacks Back (Double),840,45,24,0,235,700,96,0,82,16
The Great Escape,380,19,11,0,115,240,45,0,40,8
The Great Escape (Double),760,38,21,0,225,480,90,0,81,16
The Great White Way,370,16,10,0,110,260,50,0,43,8
The Great White Way (Double),750,33,20,0,225,520,99,0,85,16
Tinseltown Toffee,540,33,21,1,140,340,58,0,51,8
Tinseltown Toffee (Double),1080,66,41,1.5,280,680,116,0,101,15
Toffee Takeoff,520,27,17,0,140,480,61,0,57,8
Toffee Takeoff (Double),1030,55,34,0.5,280,960,122,0,115,16
Township Toffee,530,30,18,0.5,145,450,62,0,57,7
Township Toffee (Double),1070,59,37,1.5,290,900,124,0,114,15
Uchi-Koncrete,490,24,14,0,135,390,60,0,33,9
Uchi-Koncrete (Double),980,48,28,0,265,780,120,0,66,19
Valley Forge Freeze,490,29,18,1,140,730,56,0,50,7
Valley Forge Freeze (Double),980,58,35,1.5,280,1470,111,0,100,14
Vice Crispy Treat,370,16,10,0,110,260,50,0,43,8
Vice Crispy Treat (Double),750,33,20,0,225,520,99,0,85,18
Vietnamese Coffee and Donuts,470,23,13,0,115,330,56,0,46,9
Vietnamese Coffee and Donuts (Double),930,47,26,0,230,660,112,0,93,18
Washington Monu-Mint,430,24,14,0.5,125,150,53,0,46,7
Washington Monu-Mint (Double),860,48,29,1.5,250,300,105,0,92,15
West U-Nicorn,430,21,12,0,120,380,52,0,47,8
West U-Nicorn (Double),850,42,24,0,240,750,104,0,95,16
West Slide,480,24,11,0,145,310,60,0,53,9
West Slide (Double),970,48,22,0,285,620,120,1,106,17
Westberry,440,18,10,0,110,330,62,0,45,9
Westberry (Double),880,35,20,0,225,650,124,1,90,18
Whoopie Pie Oh My,480,25,13,0,130,330,57,0,51,9
Whoopie Pie Oh My (Double),960,50,26,0,255,650,115,0,103,17
Wicked Crunchie,470,20,11,0,120,460,66,0,49,9
Wicked Crunchie (Double),950,39,23,0,240,920,132,0,98,19
Winter's Wonderland,370,16,10,0,110,260,50,0,43,8
Winter's Wonderland (Double),750,33,20,0,225,520,99,0,85,16
Wolverine Dream,490,20,10,0,110,310,67,1,51,9
Wolverine Dream (Double),970,41,20,0,225,620,134,2,101,19
World's Fare,370,16,10,0,110,260,50,0,43,8
"",,,,,,,,,,
Concrete Mix-Ins**,Calories,Total Fat,Sat Fat,Trans Fat,Chol.,Sodium,Total Carb,Fiber,Sugars,Prot
"",,,,,,,,,,
Almonds,80,7,0.5,0,0,0,3,2,1,3
"",,,,,,,,,,
Almond Sable (Ir's Delicious Desserts),80,4.5,1.5,0,0,50,8,0,3,1
"",,,,,,,,,,
Amarena Cherries,40,0,0,0,0,0,9,0,8,0
"",,,,,,,,,,
Apple Fritter (Randy's Donuts),45,3,1,0,0,45,5,0,1,1
Banana Bread,50,3,0,0,5,30,6,0,3,1
Banana Bread Donut (Glazed and Confused),35,1,0,0,0,45,6,0,2,1
Bananas,10,0,0,0,0,0,3,0,2,0
"",,,,,,,,,,
Bananas Foster Cupcake (Sugar Ray's Bakery),150,6,2,0,20,150,23,0,16,1
Bee Sting Bar (Baked & Wired),70,3.5,1.5,0,5,40,9,0,4,1
"",,,,,,,,,,
Belgian Waffle,45,2,0,0,5,50,6,0,2,1
"",,,,,,,,,,
Black Magic Brownie (Zingerman's),60,2.5,0.5,0,0,40,9,0,5,1
"",,,,,,,,,,
Brownie (Mark's Bake Shoppe),70,4,1,0,10,50,7,0,5,1
"",,,,,,,,,,
Brownie (Rocket Baby Bakery),60,2.5,0.5,0,5,40,9,0,5,1
"",,,,,,,,,,
Brownie (Mindy's Hot Chocolate),60,3,1.5,0,15,20,8,0,6,1
"",,,,,,,,,,
Brownie (Baked & Wired),50,2,0,0,10,35,8,0,6,1
"",,,,,,,,,,
Cacao Nibs,90,7,4,0,0,10,4,4,0,2
"",,,,,,,,,,
Café Sua Da Marshmallow Sauce (Greenway),40,0,0,0,0,0,10,0,8,0
"",,,,,,,,,,
Cannoli Shell (Termini Bros.),50,2.5,1,0,5,0,7,0,2,1
"",,,,,,,,,,
Cannoli Shell (High Street on Hudson),50,3,1,0,10,0,8,0,3,1
"",,,,,,,,,,
Carrot Cake (UB Preserv),100,5,0,0,20,45,12,1,5,1
Chocolate Cake Donut (Du's Donuts),60,3,0.5,0,10,30,8,0,4,1
Chocolate Chip Cookie (Baked NYC),70,4,2,0,10,8,8,0,5,1
Chocolate Chip Cookie (Baked and Wired),60,3,2,0,5,45,8,0,5,1
"",,,,,,,,,,
Chocolate Chip Cookie (Winslow's Bakery),70,4,2,0,5,65,9,0,6,1
Chocolate Chip Seasalt Cookie (Mindy's Hot Chocolate),60,3,2,0,10,70,9,0,6,1
"",,,,,,,,,,
Chocolate Cloud Cookie (Baked),70,3.5,2,0,10,30,9,0,9,1
"",,,,,,,,,,
Chocolate Covered Pretzels,70,2.5,1,0,0,70,10,0,5,1
"",,,,,,,,,,
Chocolate Crunch Cupcake (Cupcakery),50,3,1,0,5,50,7,0,6,0
"",,,,,,,,,,
Chocolate Crunchies (Valrhona),70,4.5,3,0,0,0,6,0,6,1
"",,,,,,,,,,
Chocolate Fudge Brownie (Milk & Cookies),60,3,2,0,15,20,8,0,6,1
"",,,,,,,,,,
Chocolate Sprinkles,60,3,2,0,0,5,9,0,7,1
"",,,,,,,,,,
Chocolate Toffee,80,4.5,3,0,10,70,9,0,8,0
"",,,,,,,,,,
Chocolate Truffle Cookie Dough,50,3,2,0,5,15,7,1,5,1
"",,,,,,,,,,
Cinnamon Fudge Sauce,50,3.5,2,0,5,20,4,0,3,1
"",,,,,,,,,,
Cinnamon Marshmallow Sauce,40,0,0,0,0,25,10,0,9,0
"",,,,,,,,,,
Cinnamon Sugar,50,0,0,0,0,0,13,2,10,0
"",,,,,,,,,,
Citrus Marinated Raspberries,15,0,0,0,0,0,4,1,3,0
"",,,,,,,,,,
Cocoa Powder,20,1,1,0,0,35,1,1,1,1
"",,,,,,,,,,
Coffee Beans,0,0,0,0,0,0,0,0,0,0
"",,,,,,,,,,
Coffee Marshmallow Sauce,40,0,0,0,0,0,10,0,8,0
"",,,,,,,,,,
Condensed Milk,45,1,1,0,5,20,8,0,8,1
"",,,,,,,,,,
Cookie Butter,80,6,1,0,0,25,8,0,5,1
"",,,,,,,,,,
COP Donut (Morningstar),60,4,2,0,5,55,6,0,2,1
"",,,,,,,,,,
Couch Potato Cookie Dough (Fluff Bake Bar),140,8,4,0,20,95,16,0,15,2
"",,,,,,,,,,
Crispy Crunchies,50,0,0,0,0,130,12,0,1,1
"",,,,,,,,,,
Dark Chocolate Chunks (Askinosie Chocolate),80,5,3.5,0,0,0,7,3,4,1
Dark Chocolate Chunks (Dandelion),70,5,3,0,0,0,7,0,4,1
Dark Chocolate Chunks (Mast Brothers),80,6,4,0,0,5,7,2,4,1
Dark Chocolate Chunks (Taza),80,4.5,3.5,0,0,0,7,1,4,1
Dark Chocolate Chunks (Theo's),80,6,4,0,0,5,7,2,4,1
Dark Chocolate Chunks (Zak's),70,5,3,0,0,0,7,0,4,1
Dark Chocolate Cookie (Warm Belly),70,4,3,0,15,30,8,0,6,1
Devil's Food Cake (Fluff Bake Bar),45,2,0,0,10,70,7,0,4,1
Devil's Food Cake (It's Delicious Desserts),90,3.5,1,0,20,140,13,0,8,1
Donut (Doughnut Plant),60,3,1,0,0,50,6,1,4,1
Double Chocolate Chip Cookie (BIRD Bakery),60,3.5,1.5,0,0,30,9,0,5,1
"Double Concrete, Chocolate",680,42,25,1.5,240,260,70,3,64,13
"Double Concrete, Vanilla",610,33,20,0,225,380,67,3,66,15
"Double Concrete, Vanilla and Chocolate",650,37,22,0.5,235,320,69,2,65,14
Dulce De Leche Brownie (Zingerman's),60,3.5,0.5,0.5,10,75,7,0,5,1
French Toast Donut (Federal Donuts),60,3.5,1.5,0,0,75,7,1,3,1
Frosted Butter Cake (Make My Cake),50,2.5,0,0,10,40,8,0,6,0
Fudge Sauce,50,3.5,2,0,5,20,4,0,3,1
Glazed Donut (North Lime Donuts),60,3,1,0,0,50,6,1,5,1
Graham Crackers,60,2,0,0,0,55,10,0,3,1
Graham Crackers (Pollystyle),50,2,1,0,5,50,8,0,4,1
Ginger Chocolate Chip Cookie Dough (Sono Baking Company),60,3,1,0,10,45,9,0,5,1
Gooey Butter Cake (Park Ave. Coffee),50,2.5,1,0,15,30,8,1,6,1
Hazelnut Brown Butter Streusel (Milk and Cookies),70,5,2,0,6,25,9,0,4,1
Kitchen Sink Cookie (Mindy's Hot Chocolate),60,3,1.5,0,5,45,8,0,5,1
Lemon Curd,45,1.5,1,0,20,0,8,0,5,0
Lemon Ricotta,40,1.5,1,0,5,10,5,0,5,1
Macaron Shells (Bakery Lorraine),60,2.5,3,0,0,10,8,0,6,1
Malt Caramel (Bon Bon Bon),70,4.5,2.5,0,5,10,6,0,5,1
Malted Marshmallow Sauce,35,0,0,0,0,15,9,0,8,0
Maple Bacon Donut (Astro Donuts),50,2.5,1,0,15,100,4,0,1,2
Marshmallow Sauce,40,0,0,0,0,0,10,0,9,0
Matcha Green Tea Powder,40,0,0,0,0,0,0,0,0,14
Minted Marshmallow Sauce,40,0,0,0,0,0,10,0,9,0
Mint White Chocolate Ganache (Chocopologie),70,4,3,0,5,10,9,0,9,1
Miso Huckleberry Hazelnut Blondie (Uchi),60,3,1.5,0,10,10,8,0,6,1
Nutella Pretzel Cookie (Mark's Bake Shoppe),80,4.5,1,0,10,40,9,0,3,1
Old Fashioned Doughnut (Doughnut Plant),60,3.5,1.5,0,5,55,7,0,3,1
Old Fashioned Buttermilk Vanilla Donut (Kettle Glazed),50,2,1,0,5,50,7,0,4,1
Old Fashioned Donut (Do Rite),70,4.5,2,0,0,70,7,0,3,1
Pecan Shortbread (Scratch Baking),80,4.5,1.5,0,0,50,8,0,3,1
Pecan Sticky Bun (Balthazar),50,3,2,0,10,30,6,0,3,1
Pecans,100,10,1,0,0,0,2,1,1,1
Pistachios,80,6,1,0,0,0,4,1,1,3
Potato Chips (Route 11),80,4.5,0,0,0,55,8,0,0,1
Rainbow Sprinkles,70,3,1,1.5,0,0,11,0,7,0
Red Velvet Cake (South End Buttery),50,2.5,0,0,10,55,6,0,4,1
Red Velvet Cake (The Cupcakery),50,2.5,1,0,5,60,6,0,4,1
Salted Caramel Chocolate Brownie (Larder Baking Company),60,3.5,0.5,0.5,10,75,7,0,5,1
Salted Caramel Sauce,45,2,1.5,0,5,135,7,0,7,0
Salted Crunch Dark Chocolate Brownie (Southport Grocery & Caf,130,7,1.5,1,20,150,15,0,10,1
Seasonal Pie,45,2.5,1,0,5,35,5,0,3,0
Shortbread Cookie,70,3.5,2,0,10,55,9,0,3,1
Shortbread (Pollystyle),70,3.5,1,0,0,50,9,0,3,1
"Single Concrete, Chocolate",340,21,12,0.5,120,130,35,2,32,6
"Single Concrete, Vanilla",310,16,10,0,110,190,33,0,33,7
"Single Concrete, Vanilla and Chocolate",320,19,11,0,115,160,34,1,32,7
Snickerdoodle (Lady Lexis),120,5,2,0,20,90,17,0,9,1
Strawberry Cupcake (Sugar Ray's),45,2,0.5,0,5,45,6,0,4,0
Strawberry Jam,35,0,0,0,0,0,9,0,8,0
Strawberry Purée,10,0,0,0,0,0,3,0,2,0
Strawberry & Rose Geranium Jam (Sqirl),25,0,0,0,0,0,6,0,5,0
Toffee Shortbread (Pollystyle),70,4,2,0,0,45,8,0,3,1
Triple Chocolate Sea Salt Cookie (Luna Baking Company),60,3,2,0,5,90,8,0,6,1
Unicorn Bait Cookie Dough (Fluff Bake Bar),60,2.5,1,0,0,55,9,0,4,1
Vanilla Glazed Donut (Astro Donuts),60,3.5,1.5,0,5,55,7,0,3,1
Walnut Sable Cookie (Balthazar),70,3.5,1.5,0,5,65,8,0,4,1
Walnuts,90,9,1,0,0,0,2,1,0,2
White Peach Puree,10,0,0,0,0,0,3,0,3,0
Whole Wheat Chocolate Chip Walnut Cookie (Manresa),70,4,2,0,10,50,8,1,6,1
"",,,,,,,,,,
"",,,,,,,,,,
"",,,,,,,,,,
Drinks,Calories,Total Fat,Sat Fat,Trans Fat,Chol.,Sodium,Total Carb,Fiber,Sugars,Protei
"",,,,,,,,,,
Shack-made Lemonade Small,160,0,0,0,0,10,43,0,40,0
"",,,,,,,,,,
Shack-made Lemonade Large,270,0,0,0,0,15,70,0,66,0
"",,,,,,,,,,
Featured Lemonade Small,150 - 230,0 - 4,0 - 4,0,0,5 - 15,39 - 50,0,36 - 47,0 - 1
"",,,,,,,,,,
Featured Lemonade Large,250 - 380,0 - 7,0 - 7,0,0,10 - 25,64 - 81,0,59 - 79,0 - 1
"",,,,,,,,,,
Fresh Brewed Iced Tea Small,5,0,0,0,0,10,1,0,0,0
"",,,,,,,,,,
Fresh Brewed Iced Tea Large,5,0,0,0,0,15,2,0,0,0
"",,,,,,,,,,
Fresh Brewed Sweetened Iced Tea Small,110,0,0,0,0,10,28,0,27,0
"",,,,,,,,,,
Fresh Brewed Sweetened Iced Tea Large,170,0,0,0,0,15,45,0,44,0
"",,,,,,,,,,
Fifty-Fifty Small,80,0,0,0,0,10,22,0,20,0
"",,,,,,,,,,
Fifty-Fifty Large,140,0,0,0,0,15,36,0,33,0
"",,,,,,,,,,
Coke Small,140,0,0,0,0,45,39,0,39,0
"",,,,,,,,,,
Coke Large,210,0,0,0,0,65,58,0,58,0
"",,,,,,,,,,
Diet Coke Small,0,0,0,0,0,40,0,0,0,0
"",,,,,,,,,,
Diet Coke Large,0,0,0,0,0,60,0,0,0,0
"",,,,,,,,,,
Coke Zero Small,0,0,0,0,0,40,0,0,0,0
"",,,,,,,,,,
Coke Zero Large,0,0,0,0,0,60,0,0,0,0
"",,,,,,,,,,
Sprite Small,140,0,0,0,0,30,36,0,32,0
"",,,,,,,,,,
Sprite Large,240,0,0,0,0,55,60,0,53,0
"",,,,,,,,,,
Fanta Orange Small,160,0,0,0,0,60,45,0,44,0
"",,,,,,,,,,
Fanta Orange Large,240,0,0,0,0,90,67,0,66,0
"",,,,,,,,,,
Fanta Grape Small,180,0,0,0,0,35,49,0,49,0
"",,,,,,,,,,
Fanta Grape Large,270,0,0,0,0,55,73,0,73,0
"",,,,,,,,,,
Dr. Pepper Small,150,0,0,0,0,60,40,0,38,0
"",,,,,,,,,,
Dr. Pepper Large,220,0,0,0,0,90,59,0,58,0
"",,,,,,,,,,
Diet Dr. Pepper Small*,0,0,0,0,0,60,0,0,0,0
"",,,,,,,,,,
Diet Dr. Pepper Large*,0,0,0,0,0,90,0,0,0,0
"",,,,,,,,,,
Crush Small*,160,0,0,0,0,70,43,0,43,0
"",,,,,,,,,,
Crush Large*,240,0,0,0,0,110,65,0,64,0
"",,,,,,,,,,
Diet Pepsi Small*,0,0,0,0,0,35,0,0,0,0
"",,,,,,,,,,
Diet Pepsi Large*,0,0,0,0,0,55,0,0,0,0
"",,,,,,,,,,
Mist TWST Small*,140,0,0,0,0,35,39,0,39,0
"",,,,,,,,,,
Mist TWST Large*,220,0,0,0,0,50,58,0,58,0
"",,,,,,,,,,
Mountain Dew Small*,170,0,0,0,0,65,46,0,46,0
"",,,,,,,,,,
Mountain Dew Large*,260,0,0,0,0,95,69,0,69,0
"",,,,,,,,,,
Diet Mountain Dew Small*,5,0,0,0,0,50,1,0,1,0
"",,,,,,,,,,
Diet Mountain Dew Large*,10,0,0,0,0,75,1,0,1,0
"",,,,,,,,,,
Pepsi Small*,150,0,0,0,0,35,41,0,41,0
"",,,,,,,,,,
Pepsi Large*,220,0,0,0,0,50,62,0,62,0
"",,,,,,,,,,
PepsiMAX Small*,0,0,0,0,0,40,0,0,0,0
"",,,,,,,,,,
PepsiMAX Large*,0,0,0,0,0,60,0,0,0,0
"",,,,,,,,,,
Abita Root Beer Bottle,180,0,0,0,0,16,44,0,38,0
"",,,,,,,,,,
Abita Root Beer Small,165,0,0,0,0,15,40,0,35,0
"",,,,,,,,,,
Abita Root Beer Large,265,0,0,0,0,24,66,0,57,0
"",,,,,,,,,,
Stumptown Cold Brew,5,0,0,0,0,5,0,0,0,0
"",,,,,,,,,,
Stumptown Cold Brew Nitro*,5,0,0,0,0,5,0,0,0,0
"",,,,,,,,,,
Stumptown Cold Brew Float*,280,15,9,0,100,180,30,0,30,7
"",,,,,,,,,,
Orange Juice,165,0,0,0,0,12,41,2,30,3
"",,,,,,,,,,
Honest Kids Apple Juice,40,0,0,0,0,0,10,0,9,0
"",,,,,,,,,,
SHACK2O,0,0,0,0,0,0,0,0,0,0
"",,,,,,,,,,
"",,,,,,,,,,
Beer & Wines,Calories,Total Fat,Sat Fat,Trans Fat,Chol.,Sodium,Total Carb,Fiber,Sugars,Prot
"",,,,,,,,,,
Brooklyn Brewery ShackMeister Ale (16oz. Draft),210,0,0,0,0,0,17,0,0,2
"",,,,,,,,,,
Brooklyn Brewery ShackMeister Ale (24oz. Draft),310,0,0,0,0,0,25,0,0,4
"",,,,,,,,,,
Brooklyn Brewery ShackMeister Ale (32oz. Draft),420,0,0,0,0,0,33,0,0,5
"",,,,,,,,,,
Brooklyn Brewery ShackMeister Ale (60oz. Draft),780,0,0,0,0,0,62,0,0,9
"",,,,,,,,,,
Beer Float,490,15,9,0,100,190,52,0,30,8
Shack White (6oz),140,0,0,0,0,0,4,0,0,0
Shack White Bottle (750 ml),600,0,0,0,0,0,15,0,0,1
Shack Red (6 oz),150,0,0,0,0,0,5,0,0,0
Shack Red Bottle (750 ml),620,0,0,0,0,0,19,0,0,1
Prosecco (375 ml),310,0,0,0,0,20,10,0,4,0
Scarpetta (6oz),140,0,0,0,0,10,4,0,2,0
Gotham Red Can,210,0,0,0,0,10,6,0,0,0
Gotham White Can,200,0,0,0,0,10,5,0,0,0
Gotham Rosé Can,210,0,0,0,0,10,9,0,0,1
