,Burgers,Calories,Total Fat,Sat Fat,Trans Fat,Chol.,Sodium,Total Carb,Fiber,Sugars,Protein
257,Downtown Butter Brown (Double),780,39.0,24.0,0.0,225,440,90,0,77,16
258,DTLA,480,30.0,19.0,0.5,125,150,50,0,41,8
259,DTLA (Double),960,61.0,37.0,1.5,250,310,99,1,82,16
260,Dust Devil,460,22.0,13.0,0.0,125,390,599,0,51,8
261,Dust Devil (Double),920,44.0,27.0,0.0,255,790,118,0,101,17
262,Easton Bound,470,24.0,15.0,0.0,135,390,55,0,47,9
263,Easton Bound (Double),940,48.0,30.0,0.0,270,770,111,1,94,18
264,Eaton' Around Town,510,28.0,17.0,1.0,130,190,63,0,51,8
265,Eaton' Around Town (Double),1010,55.0,33.0,1.5,260,390,127,0,102,16
266,Elm City Coffee Break,570,30.0,14.0,0.0,115,340,68,0,51,10
267,Elm City Coffee Break (Double),1150,59.0,28.0,0.0,235,690,136,0,101,19
268,Empire State,550,30.0,16.0,1.0,125,240,65,0,48,9
269,Empire State (Double),1090,61.0,31.0,1.5,250,470,131,1,97,18
270,Even S'more,520,27.0,15.0,0.5,125,210,66,0,52,8
271,Even S'more (Double),1040,55.0,30.0,1.5,255,420,133,1,104,17
272,Eye Drive,530,29.0,18.0,0.0,140,470,63,0,59,8
273,Eye Drive (Double),1070,58.0,36.0,0.5,280,950,125,1,117,16
274,Falls Fashion,430,22.0,13.0,0.0,120,390,50,0,44,8
275,Falls Fashion (Double),850,44.0,26.0,0.0,240,790,101,1,88,17
276,Fidi Fudge,470,28.0,17.0,0.5,130,180,52,1,44,9
277,Fidi Fudge (Double),930,56.0,34.0,1.5,260,350,104,2,86,17
278,Fluff'N Foster,490,22.0,12.0,0.0,130,340,64,0,55,9
279,Fluff'N Foster (Double),970,44.0,24.0,0.0,260,680,129,1,109,18
280,Fly Me To The Shack,550,35.0,21.0,0.5,130,170,58,0,48,9
281,Fly Me To The Shack (Double),1100,70.0,43.0,1.5,260,340,117,0,96,18
282,Fudge-eddaboutit,470,30.0,19.0,0.5,125,150,47,1,39,8
283,Fudge-eddaboutit (Double),940,60.0,37.0,1.5,250,310,95,1,79,16
284,Garden State,440,21.0,13.0,0.0,125,320,55,0,36,9
285,Garden State (Double),880,43.0,25.0,0.0,250,650,110,0,72,18
286,Give My Regards,520,29.0,18.0,0.0,130,420,60,0,54,9
287,Give My Regards (Double),1040,58.0,36.0,0.0,260,830,118,0,108,18
288,Glades Donuts,470,25.0,15.0,0.0,125,400,52,0,47,8
289,Glades Donuts (Double),930,51.0,30.0,0.0,255,800,105,0,93,16
290,Glazed Dazed Doughnut,520,28.0,16.0,0.0,130,490,61,0,52,9
291,Glazed Dazed Doughnut (Double),1050,56.0,33.0,0.0,265,990,121,0,104,17
292,Grahammy Nominated,390,18.0,10.0,0.0,110,250,50,1,40,8
293,Grahammy Nominated (Double),790,37.0,20.0,0.0,225,500,100,2,80,17
294,Great Salted Dessert,480,22.0,13.0,0.0,130,400,63,0,55,9
295,Great Salted Dessert (Double),960,44.0,27.0,0.0,255,790,126,0,109,17
296,Going Yard,520,26.0,14.0,0.0,125,410,68,0,57,9
297,Going Yard (Double),1050,52.0,29.0,0.0,250,830,135,0,114,19
298,Heights Bites,560,28.0,14.0,0.0,160,570,72,0,64,9
299,Heights Bites (Double),1130,56.0,28.0,0.0,315,1150,143,0,128,17
300,Hill of Beans,480,25.0,15.0,0.0,125,350,60,1,52,10
301,Hill of Beans (Double),970,51.0,31.0,0.0,245,700,120,2,105,19
302,Home-ward Bound,510,30.0,17.0,0.5,135,300,59,0,48,8
303,Home-ward Bound (Double),1020,59.0,35.0,1.5,265,600,117,0,97,16
304,Hopscotch,510,29.0,18.0,0.0,130,400,56,0,51,9
305,Hopscotch (Double),1020,57.0,36.0,0.0,260,810,113,0,103,17
306,Hopscotch (Roadie)*,2040,115.0,72.0,1.0,520,1610,226,0,206,34
307,Invictus,490,29.0,18.0,0.5,130,300,55,0,45,8
308,Invictus (Double),980,58.0,36.0,1.5,255,600,109,0,89,16
309,Jitney,490,26.0,15.0,0.0,140,57,57,0,40,9
310,Jitney (Double),980,52.0,30.0,0.0,275,840,114,0,79,18
311,Just Du It,570,29.0,16.0,0.0,150,470,68,0,58,9
312,Just Du It (Double),1130,59.0,32.0,0.0,295,940,137,0,116,18
313,Kierland Campfire,530,29.0,16.0,0.5,120,190,62,0,48,9
314,Kierland Campfire (Double),1050,58.0,32.0,1.5,245,390,124,1,95,17
315,King Neptune's Swirl,360,17.0,10.0,0.0,110,220,45,0,39,8
316,King Neptune's Swirl (Double),710,33.0,20.0,0.0,225,450,89,1,78,16
317,Larks-Brr,370,16.0,10.0,0.0,110,280,50,0,43,8
318,Larks-Brr (Double),750,33.0,20.0,0.0,225,520,99,0,85,16
319,Lemon Grove,460,20.0,11.0,0.0,130,250,62,0,50,9
320,Lemon Grove (Double),920,40.0,22.0,0.0,265,510,123,1,101,17
321,Liberty Shell,380,19.0,11.0,0.0,120,200,43,0,39,9
322,Liberty Shell (Double),750,38.0,23.0,0.0,235,410,86,0,79,18
323,Logan Swirl,500,27.0,15.0,0.0,130,450,58,0,52,8
324,Logan Swirl (Double),1000,54.0,31.0,0.0,265,900,117,0,103,17
325,Lower West Side,480,28.0,17.0,0.5,120,150,52,4,44,9
326,Lower West Side (Double),970,56.0,33.0,1.5,245,310,105,7,88,18
327,M Street Treat,510,27.0,16.0,0.0,120,260,64,0,53,10
328,M Street Treat (Double),1030,54.0,33.0,0.0,245,530,129,1,106,20
329,Macaron Swoon,430,20.0,13.0,0.0,135,210,52,0,47,9
330,Macaron Swoon (Double),850,40.0,27.0,0.0,270,410,104,0,93,17
331,'Mallow Monsoon,420,22.0,13.0,0.0,120,210,53,0,45,8
332,'Mallow Monsoon (Double),850,44.0,26.0,0.5,240,410,105,1,89,16
333,Malt of America,460,22.0,13.0,0.0,125,390,58,0,50,8
334,Malt of America (Double),920,44.0,27.0,0.0,255,790,117,0,100,17
335,Malt Whitman,510,26.0,15.0,0.0,125,300,61,0,42,10
336,Malt Whitman (Double),1010,51.0,29.0,0.0,250,610,123,0,83,20
337,"Maple, Bacon and Banana",440,24.0,13.0,0.0,120,430,48,0,40,11
338,"Maple, Bacon and Banana (Double)",890,47.0,26.0,0.0,235,860,96,1,79,22
339,Marshmallow C.R.E.M.E.,550,29.0,16.0,0.5,125,220,720,0,58,9
340,Marshmallow C.R.E.M.E. (Double),1100,57.0,31.0,1.5,250,440,144,0,116,17
341,MB Malt,430,24.0,13.0,0.0,115,250,47,0,40,8
342,MB Malt (Double),870,48.0,26.0,0.0,235,510,94,1,79,17
343,Metairie Mixer,500,28.0,15.0,0.0,130,290,55,0,52,9
344,Metairie Mixer (Double),1010,56.0,31.0,0.0,255,580,110,0,104,17
345,Millenia Malt,500,29.0,18.0,0.5,120,160,60,0,51,8
346,Millenia Malt (Double),1010,57.0,35.0,1.5,245,310,120,0,102,16
347,Millennium Perk,480,24.0,13.0,0.0,115,330,58,0,47,9
